Id,Industry Name,Cluster,Cluster Lat,Cluster Long,Pollution Severity,AIR,WATER,LAND,CEPI
259,Vishal Cotspin Ltd,Kirtinagar & Tilak Nagar,30.218625,78.760686,4.0,51.0,64.5,43.0,72.29
260,Vogue Textiles Ltd,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,4.0,54.0,72.5,68.75,82.71
261,Volant Textile Mills Ltd,Sholapur,17.665748,75.90741,3.0,44.0,47.0,42.5,56.91
262,VTM Ltd,Moga,12.940998,78.172514,3.0,44.0,47.0,42.5,56.91
263,Vyapar Industries Ltd,Ventimalta,19.255014,72.984172,3.0,18.21,53.35,35.81,56.39
264,Weizmann Ltd,Ventimalta,19.255014,72.984172,3.0,20.45,46.48,25.19,49.23
265,Welspun India Limited,Morvi & Wankaner,22.816253,70.828662,2.0,20.51,30.48,16.57,32.85
266,Welspun Syntex Ltd,Alang,21.415163,72.16768,3.0,40.61,30.54,30.29,46.1
267,Wheel & Axle Textiles Ltd,Sirsilla,18.389685,78.808218,4.0,51.75,79.5,54.75,85.31
268,White House Cotton Inds. Ltd,Alang,21.415163,72.16768,2.0,24.5,33.92,22.21,37.52
269,Winsome Textile Inds. Ltd,Metiaburuj Ward No. 138 to 141,28.565441,77.337149,3.0,40.99,49.57,30.08,55.79
270,Winsome Yarns Ltd,Ambala,30.357783,76.801408,3.0,13.96,50.12,21.31,51.61
271,Yarn Syndicate Ltd,Ventimalta,19.255014,72.984172,3.0,24.97,43.15,17.47,45.63
272,Zenith Fibres Ltd,Ahmedabad,23.018652,72.597713,2.0,12.52,33.18,22.18,35.03
